Name,logo_source,raise,Code,Demo,demo_type,funding_method,vc_raise,symbol,platform,Site,description,Category,twitter_handle,spec_url,Location,
FarmaTrust,https://icobench.com/images/icos/icons/farmatrust.jpg,-,-,-,-,ICO,-,FTT,ERC20,https://www.farmatrust.com/,a platform for tracking drug authenticity,Services,@FarmaTrust,-,"London, England",
Gem.co,https://icodrops.com/wp-content/uploads/2017/12/Jo8iJfoK_400x400.jpg,7.1,https://github.com/GemHQ,-,-,SERIES,7.1,GEM,ERC20,https://gem.co,Allows individuals to benefit from the value of their own data,Ownership,@gemhq,https://gem.co/wp-content/uploads/2016/10/GemOSPlatformWhitepaper.pdf,"Venice, CA",
Hashed_Health,https://pbs.twimg.com/profile_images/781263571934023680/szoxJXVS_400x400.jpg,1.8,-,-,-,SEED,1.8,-,-,https://hashedhealth.com,A healthcare innovation consultancy focused on accelerating meaningful innovation using blockchain,Consortium,@HashedHealth,-,"Nashville, Tennessee, USA",
Hayver,https://icoinblog.com/wp-content/uploads/2017/11/Hayver’s-ICO-Cryptocurrency-Rewards-Recovering-Addicts.jpg,-,-,-,-,-,-,-,ERC-20/223,http://www.hayver.com,Advanced monitoring platform to address drug and alcohol addiction,Services,@HayverSupport,-,"Georgia, USA",
HealPoint,https://healpoint.io/img/man.png,-,-,-,-,ICO,-,HLP,ERC20,http://healpoint.io/,Second opinion platform for medical diagnostics,Services,@HealPoint_io,-,"Los Angeles, California, USA",
Health_Monitor,https://assets.coingecko.com/coins/images/1988/large/hlc.png?1514446359,0.5,-,-,-,ICO,-,HLC,ERC20,http://healthmonitor.io/,"Non-invasive diagnostics of blood glucose level, lung cancer, stomach ulcer and diabetes.",Services,@healthmonitorio,-,"_estajovice, Czech Republic",
Health_Wizz,https://d15shllkswkct0.cloudfront.net/wp-content/blogs.dir/1/files/2017/11/Health_Wizz_Logo_icon_Feb_2017-1.jpg,-,-,-,-,ICO,-,-,-,https://www.healthwizz.com/,"Mobile platform to aggregate, organize, and share medical records. ",Ownership,@health_wizz,https://daks2k3a4ib2z.cloudfront.net/586ebe41ba9f9499729002dc/59e6211d76c4d200017c6dc5_HealthWizz_White%20Paper.pdf,"Falls Church, Virginia, USA",CEO was on CNBC https://www.cnbc.com/video/2017/12/26/how-we-are-using-blockchain-technology-to-secure-your-health-records-heath-wizz-ceo.html
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Healthcombix,http://www.liou-tai.net/image/cache/data/meun/A-桶圈/A-50KG瓦斯桶用-橘-550x582.jpg,-,-,-,-,-,-,-,-,http://www.healthcombix.com/,"Healthcare blockchain, distributed ledger, and decentralized network strategy and product development company.",Ownership,@HealthCombix,http://www.healthcombix.com/,"Nashville, Tennessee, USA",
Healthureum,https://tokenmarket.net/blockchain-static/ethereum/assets/healthureum/logo_big.png,-,-,-,-,ICO,-,HHEM,ERC20,https://www.healthureum.io/,"Data consolidation and exchange, doctor consult and referrals and medial infrastructure",Services,@healthureum,-,"Tallinn, Estonia",
Hearthy,https://icomood.com/media/cache/48/87/488773dd43a64f0b6ac933025fd8271c.jpg,-,https://github.com/hearthyco,https://client.demo.hearthy.co,1,ICO,-,HER,ERC20,http://hearthy.co/,"Personal Health Record, token and app ecosystem to improve healthcare access",Patient Data Management,@Hearthyco,http://hearthy.co/assets/images/Hearthy-whitepaper.pdf,"Vigo, Spain",
hit_Foundation,https://hit.foundation/wp-content/uploads/2017/09/HIT-logo.png,-,-,-,-,ICO,-,HIT,ERC20,https://hit.foundation,Marketplace for personal health data,Marketplace,-,https://hit.foundation/wp-content/uploads/2018/02/Whitepaper-HIT-foundation-V1_2.pdf,"Zurich, Switzerland",
Ingeniciel,https://pbs.twimg.com/profile_images/912409192761356288/g7ULXyFG_400x400.jpg,-,https://github.com/pibouv/ingeniciel,-,-,ICO,-,INGCL,NXT,http://www.ingeniciel.com,Store and manage medical records,Ownership,@ingeniciel,-,"Lyon, France",
Iryo,https://icobench.com/images/icos/icons/iryo.jpg,-,https://github.com/iryonetwork,https://github.com/iryonetwork/wwm,1,ICO,-,IRYO,EOS,https://iryo.io,"Health record storage platform, with an anonymous query interface. Controls for patient record access and tokens to incentivize  consent enabling artificial intelligence (AI) research. ",Ownership,@iryonetwork,https://iryo.io/iryo_whitepaper.pdf,"Kranj, Slovenia",
Linda_Healthcare_,https://icolink.com/components/com_djclassifieds/images/item/698_ico-link-list-linda-healthcare_thb.jpg,-,-,-,1,ICO,-,LNDA,ERC20,https://linda.healthcare/,Primary care telemedicine A.I. chatbot,Decision support,@LindaHealthcare,https://linda.healthcare/media/LindaHealthcare_WhitePaper_Final_Revised.pdf,"Palo Alto, California, USA",
Litra,https://www.investitin.com/wp-content/uploads/2017/08/Litra-1.png,-,-,-,-,ICO,-,LTA,Litecoin,https://litra.site/,Free electronic health records running on the Litra blockchain,Development,@LitraCoin,-,Switzerland,
Longenesis,https://pbs.twimg.com/profile_images/932291099955167232/nB3Kar8O_400x400.jpg,-,-,-,-,ICO,-,-,LifePound,http://www.longenesis.com/,"Platform which uses AI to store, manage, and trade life data: medical records, social network, and health data. ",Marketplace,@Longenesis,-,Hong Kong,
LunaDNA,http://www.finsmes.com/wp-content/uploads/2017/12/lunadna-300x300.jpg,2.0,-,-,-,"SEED,ICO",2.0,-,-,https://www.lunadna.com,Luna is a community owned database that rewards individuals Luna Coins for contributing their DNA and other medical information.,Marketplace,@luna_dna,-,"San Diego, CA",Ex-Illumina execs on CNBC https://www.cnbc.com/2017/12/18/luna-coin-project-sell-your-genetic-data-for-crypto-tokens.html
Luven_Diagnostic,https://www.trackico.io/media/oOzVAea1_400x400.jpg,-,-,-,-,ICO,-,LVN,ERC20,https://luvenmed.io/,Early stage cancer diagnostic,Services,@LuvenmedI,-,Ukraine,
Lympo,https://www.trackico.io/media/68CcMp3Q_400x400.jpg,12.8,https://github.com/LympoICO/ico-smartcontracts,-,-,ICO,-,LYM,ERC20,https://lympo.io,Monetizing sports and health data,Marketplace,@Lympo_io,https://lympo.io/wp-content/uploads/2017/12/whitepaper.pdf?v5,Lithuania,
,,,,,,,,,,,,,,,,
MedCredits,https://pbs.twimg.com/profile_images/899631295520747520/Ig5AUCO0.jpg,-,-,https://medium.com/medcredits/using-the-hippocrates-dapp-v1-0-64c23f5aa0f7,1,ICO,-,MEDX,ERC20,https://medcredits.io/,"Telemedicine on the blockchain, powered by a public decentralized registry of physicians",Services,@MedCredits,https://medcredits.io/docs/MedCreditsWhitePaper.pdf,"Berkley, Michigan",Partnered with Civic https://www.coinspeaker.com/2018/03/21/medcredits-civic-partner-first-blockchain-powered-physician-registry/
MediBloc,https://i1.wp.com/bitcoinexchangeguide.com/wp-content/uploads/2017/11/medibloc.jpg?resize=696%2C449&ssl=1,-,https://github.com/Medibloc,https://medibloc.org/en/app-professional,-,ICO,-,QTUM,MED,https://medibloc.org/en/,"a decentralized healthcare information ecosystem for patients, healthcare providers and data researchers, built on blockchain technology.",Marketplace,@_MediBloc,-,"Seoul, South Korea",
MediBond,https://qolczpnfu7-flywheel.netdna-ssl.com/wp-content/uploads/2017/08/MediBond_ico_329x207.png,,-,-,-,ICO,-,MEDI,ERC20,http://medibond.io/,"Verification system for prescriptions, claims and orders; medical records management; and personal health record",Stakeholder alignment,@medibondproj,-,Not Supplied,
Medicalchain,https://medicalchain.com/wp-content/uploads/2017/09/medicalchain_logo_dark_cropped_og.png,24.0,https://github.com/medicalchain,https://join.medicalchain.com/patient/,1,ICO,-,MTN,ERC20,https://medicalchain.com/en/,Platform for storage and transfer of electronic health records,Ownership,@medical_chain,https://medicalchain.com/Medicalchain-Whitepaper-EN.pdf,"London, England",Traded on @bitfinex
MediChain,https://cdn-images-1.medium.com/max/960/1*iX2zZ3KDi79Ll3qMZxvPEw.jpeg,$13.10 ,https://github.com/medichain,https://medichain.online/#Contact-Us,3,-,-,MCU,ERC20,https://medichain.online/,MediChain gives patients ownership of their own medical data. MediChain is a distributed ledger for patient’s medical data. It allows patients to store their own data in a secure way and gives access to specialists anywhere regardless of the payer network or EMR (Electronic Medical Record) used.,Ownership,@MediChainOnline,https://docs.google.com/document/d/1CcC0TunMv_utiQwXlD9gysj1yc2QAj5jQ8jRAuCla9k/edit,"London, UK",
medicohealth,https://medicohealth.io/images/logo2x.png,-,-,-,-,"SEED,ICO",-,MHP,ERC20,https://medicohealth.io,Telemedicine platform,Stakeholder Alignment,@Medico_Health,-,-,
MediLedger,https://i1.wp.com/bitcoinexchangeguide.com/wp-content/uploads/2018/02/MediLedger.jpg?resize=696%2C449&ssl=1,-,https://github.com/chronicled/mediledger,-,-,ICO,-,-,-,https://www.mediledger.com,"The MediLedger Project was started in 2017 by Chronicled to bring together leading Pharmaceutical Manufacturers and Distributors to explore blockchain technology to meet track and trace regulations, and to provide a step function improvement in the overall operation of the supply chain.",Supply Chain,-,https://uploads-ssl.webflow.com/59f37d05831e85000160b9b4/5aa358c647bb6800017a018b_MediLedger%20Project%202017%20Progress%20Report.pdf,"San Francisco, CA",
MedNetwork,http://c.fastcdn.co/t/6efc847b/3c7a834d/1520966946-28382932-436x71x436x83x0x6-mednetwork-logo.png,-,-,http://45.76.57.43:3000,1,ICO,-,MEDAI,ERC20,http://www.mednetwork.io,A marketplace for the exchange of medical images for automated daignoses.,Marketplace,@MedAINetwork,-,Singapore,
MedXchange,"https://static.wixstatic.com/media/a6d7cc_573a7cdb21af47ccb79c6c0af5663160~mv2.png/v1/fill/w_212,h_212,al_c,usm_0.33_1.00_0.00/a6d7cc_573a7cdb21af47ccb79c6c0af5663160~mv2.png",-,-,-,-,ICO,-,MEDCASH,ERC20,https://www.medxchange.io,"MedXchange is a blockchain-based system to facilitate and secure the global exchange of medical devices, supplies and payments.",Marketplace,@medXchange1,-,"Hong Kong, China",
minthealth,https://www.minthealth.io/wp-content/uploads/2018/03/minthealth-logo-color.png,-,https://github.com/MintHealth/Vidamints,https://www.youtube.com/watch?v=Nef1sdU0kQg,2,ICO,-,VIDA,-,https://www.minthealth.io/,"A global decentralized health platform that empowers patients with a self-sovereign health identity and aligns patients, providers, and payers to battle the global pandemic of chronic disease",Ownership,@Mint_Health,-,"San Diego, California, USA",
mitio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUq1K8yZCRxmbqcrY0dU91KNw7nyAqnm_MLgaQThEQnKLE-v9ZTg,$0.16 ,https://github.com/whitesky77658/Mitio_Token,https://www.youtube.com/watch?v=F6e6RahFmAo,2,ICO,-,MITIO,ERC20,http://www.mitio.org/,a platform for decentralized medical interpreter training,Services, ,-,"McDonough, Georgia, USA",
modum,http://bitcoinprbuzz.com/wp-content/uploads/2017/09/Modium-PR-image-1080x600.png,$13.40 ,https://github.com/modum-io,https://github.com/modum-io,1,ICO,-,MOD,ERC20,https://modum.io/,"combines IoT sensors with blockchain technology to provide data integrity for transactions of physical products, streamlining supply chain processes in many sectors; targeted to comply with EU regs on medicinal products",Development,@modum_io,https://modum.io/wp-content/uploads/2017/08/modum-whitepaper-v.-1.0.pdf,"Zürich, Switzerland",
MyMedis,https://pbs.twimg.com/profile_images/915926253777166336/N0rNy7GI_400x400.jpg,-,-,-,-,ICO,-,MEDIS,,https://mymedis.in,Distributed system to provide ownership of medical records and health data.,Ownership,@mymedisin,https://mymedis.in/documents/MEDIS-White-Paper.pdf,"Westerville, Ohio, USA ",
Nebula_Genomics,https://i1.wp.com/bitcoinexchangeguide.com/wp-content/uploads/2018/02/MediLedger.jpg?resize=696%2C449&ssl=1,$1.60 ,-,-,-,"SEED,ICO",1.6,-,ERC20,https://www.nebulagenomics.io,"Spur genomic data growth by significantly reducing the costs of personal genome sequencing, enhancing genomic data protection, enabling buyers to efficiently acquire genomic data, and addressing the challenges of genomic big data. We will accomplish this through   decentralization,   cryptography,   and   utilization   of   the   blockchain.",Research,-,https://www.nebulagenomics.io/assets/documents/NEBULA_whitepaper_v4.52.pdf,-,
Open_Longevity,https://steemitimages.com/DQmY9AihRiQSryQFXAJYysdXsX4hzt7oS9cR8XvfeEATi6C/image.png,-,-,https://www.youtube.com/watch?v=VuBwHxkRlLI,2,ICO,-,YEAR,ERC20,http://en.openlongevity.io/,"a project that initiates, organizes and guarantees the openness of clinical trials of aging therapies",Development,@Open_Longevity,https://docs.google.com/document/d/1wUz5D1cvSDkSeXF6RZipK_zNHE9odn4uEP7qgM0jtZk/edit, Russia,
Panacea.md,-,-,-,-,-,-,-,-,-,http://panacea.md,Managed mHealth custom studies ,Services,-,-,Washington D.C.,
Patientory,https://cdn-images-1.medium.com/max/944/0*Y0XaxChgf3EMzMkb.png,$7.20 ,-,https://patientory.com/sign-up/,3,ICO,-,PTOY,ERC20,https://patientory.com/,a blockchain-based distributed electronic medical record storage computing platform.,Ownership,@patientory,https://patientory.com/patientory_whitepaper.pdf,"Atlanta, Georgia, USA",
PokitDok,https://www.blockchaintechnology-news.com/wp-content/uploads/2017/05/ximg-pd-peg.png.pagespeed.ic.9Q6wxcVWUP.png,-,https://github.com/pokitdok,https://platform.pokitdok.com/#/,1,-,-,-,-,https://pokitdok.com,PokitDok’s platform-as-a-service enables healthcare organizations to quickly build modern commerce experiences across the healthcare value chain.,Development,@PokitDok,-,Sillicon Valley,
Proof.Work,https://i2.wp.com/bitcoinexchangeguide.com/wp-content/uploads/2018/03/proof-work.jpg?resize=696%2C449&ssl=1,-,-,https://proof.work/coupon/,1,-,-,-,-,https://proof.work/,"PROOF™ focuses on privacy regulatory standards (HIPAA & GDPR) to create patient-first relationships between payer, provider and life sciences;  assigning all assets permission based access. Our collaborative secure approach creates an irrefutable supply of trust between users wishing to delivering messaging, payments, big-data, meaningful use and accountability.",Ownership,@proofhealth,-,-,
Robomed_Network,https://cdn-images-1.medium.com/max/1200/1*SISRzAG8TMwPkYx1uyvAaQ.png,$14.10 ,https://github.com/RoboMed,https://robomed.io/#buy,3,ICO,-,RBM,ERC20,https://robomed.io/,a medical network managed by a blockchain token and designed to provide effective medical care; tokens support smart contracts between healthcare providers and patients ,Supply Chain,@Robomed_Network,https://robomed.io/download/Robomed_whitepaper_eng_final.pdf,Russia,
ScalaMed,-,$2.00 ,-,https://www.scalamed.com/#SignUp,3,SEED,2,-,-,https://www.scalamed.com,"Secure, mobile way to manage prescriptions on a blockchain.",Services,@ScalaMed_Health,-,-,
ScriptDrop,https://cryptocoinmastery.com/wp-content/uploads/ScriptDrop-Logo-2-1024x348.png,-,https://github.com/passdan/scriptdrop,https://github.com/passdan/scriptdrop,1,ICO,-,AHC,ERC20,https://www.scriptdrop.io/,addressing the problem of patient abandonment of prescriptions; blockchain technology incentivizes patient adherence and engagement,Services,@ScriptDrop,https://www.scriptdrop.io/assets/scriptdrop-white-paper.pdf,"Nashville, Tennessee, USA",
Shivom,https://www.icoexaminer.com/wp-content/uploads/2018/03/shivom-logo.jpg,-,https://github.com/shivom,https://www.youtube.com/watch?time_continue=1&v=jce9vB5zbps,2,ICO,-,OMX,ERC20,http://shivom.io/,"Using genome sequencing, artificial intelligence, cryptogrpahy, and next-gen distributed ledger technology, aiming to build the world's largest genomics & precision medicine ecosystem. Other healthcare companies can 'dock' their solution (Apps, Service) to the Shivom ecosystem. In addition building a genetic counseling network and not-for-profit R&D organization.",Research,@ProjectShivom,https://shivom.io/files/Whitepaper.pdf,"Global Initiative (Munich, London, Chandighar, Bangkok, Shanghai)",
Simply_Vital_Health,https://icoholder.com/files/img/c969ab61b34f832a806882646f841e81.jpeg,$0.50 ,https://github.com/Health-Nexus,https://www.youtube.com/watch?v=mw_Pu8JRN1w,2,"SEED,ICO",0.5,HLTH,ERC20,https://www.simplyvitalhealth.com/,"Health Nexus is a blockchain oriented distributed system handling data transfer, payments and storage specifically designed for healthcare",Services,@SimplyVitalHQ,https://docsend.com/view/cuufmc5,"New Haven, Connecticut, USA",
SmartHealthcare,https://assets.coingecko.com/coins/images/2319/large/shc.png?1515500205,-,https://github.com/smarthealthcaretoday/,https://www.youtube.com/watch?v=Npu1LC2cerU,2,ICO,-,SHC,ERC20,https://smarthealthcare.today/,the first person-centric decentralized healthcare eco-system integrating and processing health related data collected from different data sources. SHT tokens are based on the Ethereum blockchain and are used as internal currency in the eco-system.,Ownership,@SmrtHealthToday,https://smarthealthcare.today/resources/whitepaper.pdf,Estonia,
